ANO_1,ID_REGIAO,REGIAO,ID_MUNICIPIO,MUNICIPIO,ANO,MES,GR_NATUREZA,QT_VITIMAS
2024,3,Interior,290460,Brumado,2024,3,HOMICIDIO DOLOSO,1
2023,3,Interior,290460,Brumado,2023,3,HOMICIDIO DOLOSO,2
2024,3,Interior,290470,Buerarema,2024,3,HOMICIDIO DOLOSO,1
2023,3,Interior,290475,Buritirama,2023,3,HOMICIDIO DOLOSO,1
2023,3,Interior,290490,Cachoeira,2023,3,HOMICIDIO DOLOSO,2
2024,3,Interior,290490,Cachoeira,2024,3,HOMICIDIO DOLOSO,2
2024,3,Interior,290500,Cacule,2024,3,HOMICIDIO DOLOSO,1
2024,3,Interior,290520,Caetite,2024,3,HOMICIDIO DOLOSO,1
2024,3,Interior,290540,Cairu,2024,3,HOMICIDIO DOLOSO,1
2023,3,Interior,290560,Camacan,2023,3,HOMICIDIO DOLOSO,1
2023,2,RMS,290570,Camaçari,2023,3,HOMICIDIO DOLOSO,20
2023,2,RMS,290570,Camaçari,2023,3,ROUBO COM RESULTADO MORTE - (LATROCINIO),1
2024,2,RMS,290570,Camaçari,2024,3,HOMICIDIO DOLOSO,20
2023,3,Interior,290580,Camamu,2023,3,HOMICIDIO DOLOSO,2
2024,3,Interior,290580,Camamu,2024,3,HOMICIDIO DOLOSO,3
2024,3,Interior,290600,Campo Formoso,2024,3,HOMICIDIO DOLOSO,1
2023,3,Interior,290600,Campo Formoso,2023,3,HOMICIDIO DOLOSO,4
2024,3,Interior,290630,Canavieiras,2024,3,HOMICIDIO DOLOSO,1
2023,2,RMS,290650,Candeias,2023,3,HOMICIDIO DOLOSO,5
2023,2,RMS,290650,Candeias,2023,3,ROUBO COM RESULTADO MORTE - (LATROCINIO),1
2024,3,Interior,290670,Candido Sales,2024,3,ROUBO COM RESULTADO MORTE - (LATROCINIO),1
2024,3,Interior,290670,Candido Sales,2024,3,HOMICIDIO DOLOSO,1
